ratio = 2.019301518795753, flow_size = 1.494012MB
ratio = 2.196112406500239, flow_size = 1.574919MB
ratio = 3.1678303546624687, flow_size = 1.834238MB
ratio = 2.545384049470105, flow_size = 1.701799MB
ratio = 2.611029908171492, flow_size = 1.721935MB
ratio = 3.7094320213866645, flow_size = 1.896535MB
ratio = 3.4693036198248337, flow_size = 1.878201MB
ratio = 2.782353378428603, flow_size = 0.383561MB
ratio = 2.7134098748646673, flow_size = 0.897824MB
ratio = 2.116201935502398, flow_size = 1.563585MB
ratio = 2.354029062087186, flow_size = 0.844239MB
ratio = 5.114588203467977, flow_size = 8.063004MB
ratio = 15.03098842710532, flow_size = 1.261329MB
ratio = 5.779876366608767, flow_size = 6.954415MB
ratio = 9.332527287134788, flow_size = 2.235241MB
ratio = 2.2119028576701836, flow_size = 1.453167MB
ratio = 2.0910450904495974, flow_size = 1.544605MB
ratio = 11.771652175286471, flow_size = 2.971022MB
ratio = 11.40355150971216, flow_size = 3.43725MB
ratio = 12.542117719609656, flow_size = 2.81291MB
ratio = 4.136608461976943, flow_size = 1.952784MB
ratio = 16.812236462599454, flow_size = 1.52597MB
ratio = 16.218617312170874, flow_size = 1.891454MB
ratio = 2.2371493947446117, flow_size = 1.51809MB
ratio = 6.368154836329714, flow_size = 6.675643MB
ratio = 6.364538514070122, flow_size = 7.691867MB
ratio = 9.578699480159138, flow_size = 4.321269MB
ratio = 16.619076637742598, flow_size = 1.751041MB
ratio = 5.255311983344559, flow_size = 9.641564MB
ratio = 2.271026061872078, flow_size = 0.861431MB
ratio = 12.340265140662387, flow_size = 2.982801MB
ratio = 11.230704025690356, flow_size = 4.024995MB
ratio = 2.1372495667988947, flow_size = 1.567967MB
ratio = 9.29440435848762, flow_size = 4.639813MB
ratio = 9.030953883427483, flow_size = 4.608616MB
ratio = 12.572786492393112, flow_size = 2.777443MB
ratio = 17.080567510120698, flow_size = 1.538422MB
ratio = 3.5065745449678802, flow_size = 17.01363MB
ratio = 10.023052190134889, flow_size = 3.949374MB
ratio = 13.866141770766133, flow_size = 2.39089MB
ratio = 9.750878841584544, flow_size = 4.801615MB
ratio = 2.2471593536334997, flow_size = 1.836818MB
ratio = 2.533068765600032, flow_size = 1.708495MB
ratio = 5.655632147552777, flow_size = 7.643288MB
ratio = 5.833226221905743, flow_size = 9.181842MB
ratio = 2.491816989615673, flow_size = 1.684832MB
ratio = 2.326693928505694, flow_size = 1.392656MB
ratio = 4.857530277403102, flow_size = 1.573465MB
ratio = 9.613744949990778, flow_size = 3.959652MB
ratio = 13.037503267800094, flow_size = 2.594032MB
ratio = 10.855635365198621, flow_size = 3.477328MB
ratio = 7.987316078163177, flow_size = 5.9017MB
ratio = 3.2929297273386333, flow_size = 1.84357MB
ratio = 2.000303057181716, flow_size = 1.515842MB
ratio = 12.235999359681863, flow_size = 2.733543MB
ratio = 2.5524866853629042, flow_size = 0.877543MB
ratio = 5.942639778326899, flow_size = 8.175483MB
ratio = 4.754590775000572, flow_size = 1.988481MB
ratio = 12.222797180453325, flow_size = 2.963195MB
ratio = 3.45104776717353, flow_size = 16.282781MB
ratio = 2.0791805094130678, flow_size = 0.144218MB
ratio = 5.295607901898878, flow_size = 9.868115MB
ratio = 3.4540171414866894, flow_size = 14.124321MB
ratio = 3.666478256261702, flow_size = 1.927992MB
ratio = 9.877230213000079, flow_size = 4.454785MB
ratio = 2.511243377505318, flow_size = 1.707742MB
ratio = 10.07094337991466, flow_size = 3.813412MB
ratio = 2.308108218534433, flow_size = 1.653747MB
ratio = 2.614605091130934, flow_size = 29.150586MB
ratio = 5.4238834408422285, flow_size = 9.029161MB
ratio = 3.0964241114160926, flow_size = 1.78376MB
ratio = 18.14527857587157, flow_size = 1.561081MB
ratio = 13.947768071221567, flow_size = 2.762564MB
ratio = 8.136455910945065, flow_size = 4.956272MB
ratio = 7.502974423450797, flow_size = 5.073144MB
ratio = 2.6432027593872536, flow_size = 8.014668MB
ratio = 2.9700571226143557, flow_size = 1.24899MB
ratio = 17.304679068811346, flow_size = 1.807123MB
ratio = 4.745190795009695, flow_size = 9.730798MB
ratio = 5.18787753197699, flow_size = 9.514433MB
ratio = 19.378254120777587, flow_size = 1.564006MB
ratio = 7.522966792160976, flow_size = 5.317161MB
ratio = 5.531122823403829, flow_size = 9.735117MB
ratio = 5.675303835000489, flow_size = 8.687787MB
ratio = 2.7919121569012133, flow_size = 25.193408MB
ratio = 2.1763184385660757, flow_size = 0.803464MB
ratio = 5.205545870560035, flow_size = 9.75451MB
ratio = 2.8977599439082438, flow_size = 26.30386MB
ratio = 6.720593214600122, flow_size = 0.078299MB
ratio = 6.308843289019998, flow_size = 7.349915MB
ratio = 5.454891365758344, flow_size = 9.296786MB
ratio = 3.4042060325276218, flow_size = 1.869066MB
ratio = 6.183717564816427, flow_size = 7.641574MB
ratio = 2.3051684745692937, flow_size = 1.640597MB
ratio = 11.979634895500858, flow_size = 2.779643MB
ratio = 11.141035910713136, flow_size = 3.285747MB
ratio = 6.985203221889879, flow_size = 7.044082MB
ratio = 5.300445254121393, flow_size = 9.618182MB
ratio = 2.499263119551274, flow_size = 24.934133MB
ratio = 16.2260117451256, flow_size = 1.333515MB
ratio = 11.036170361563746, flow_size = 4.165976MB
ratio = 15.986645718774549, flow_size = 1.939419MB
