time: 2000000000
128 1 1
128 2 1
128 3 1
128 4 1
128 5 1
128 6 1
128 7 1
128 8 1
128 9 1
128 10 1
128 11 1
128 12 1
128 13 1
128 14 1
128 15 1
128 16 1
128 17 1
128 18 1
128 19 1
128 20 1
129 1 1
129 2 1
129 3 1
129 4 1
129 5 1
129 6 1
129 7 1
129 8 1
129 9 1
129 10 1
129 11 1
129 12 1
129 13 1
129 14 1
129 15 1
129 16 1
129 17 1
129 18 1
129 19 1
129 20 1
130 1 1
130 2 1
130 3 1
130 4 1
130 5 1
130 6 1
130 7 1
130 8 1
130 9 1
130 10 1
130 11 1
130 12 1
130 13 1
130 14 1
130 15 1
130 16 1
130 17 1
130 18 1
130 19 1
130 20 1
131 1 1
131 2 1
131 3 1
131 4 1
131 5 1
131 6 1
131 7 1
131 8 1
131 9 1
131 10 1
131 11 1
131 12 1
131 13 1
131 14 1
131 15 1
131 16 1
131 17 1
131 18 1
131 19 1
131 20 1
132 1 1
132 2 1
132 3 1
132 4 1
132 5 1
132 6 1
132 7 1
132 8 1
132 9 1
132 10 1
132 11 1
132 12 1
132 13 1
132 14 1
132 15 1
132 16 1
132 17 1
132 18 1
132 19 1
132 20 1
133 1 1
133 2 1
133 3 1
133 4 1
133 5 1
133 6 1
133 7 1
133 8 1
133 9 1
133 10 1
133 11 1
133 12 1
133 13 1
133 14 1
133 15 1
133 16 1
133 17 1
133 18 1
133 19 1
133 20 1
134 1 1
134 2 1
134 3 1
134 4 1
134 5 1
134 6 1
134 7 1
134 8 1
134 9 1
134 10 1
134 11 1
134 12 1
134 13 1
134 14 1
134 15 1
134 16 1
134 17 1
134 18 1
134 19 1
134 20 1
135 1 1
135 2 1
135 3 1
135 4 1
135 5 1
135 6 1
135 7 1
135 8 1
135 9 1
135 10 1
135 11 1
135 12 1
135 13 1
135 14 1
135 15 1
135 16 1
135 17 1
135 18 1
135 19 1
135 20 1
136 1 1
136 2 1
136 3 1
136 4 1
136 5 1
136 6 1
136 7 1
136 8 1
137 1 1
137 2 1
137 3 1
137 4 1
137 5 1
137 6 1
137 7 1
137 8 1
138 1 1
138 2 1
138 3 1
138 4 1
138 5 1
138 6 1
138 7 1
138 8 1
139 1 1
139 2 1
139 3 1
139 4 1
139 5 1
139 6 1
139 7 1
139 8 1
140 1 1
140 2 1
140 3 1
140 4 1
140 5 1
140 6 1
140 7 1
140 8 1
141 1 1
141 2 1
141 3 1
141 4 1
141 5 1
141 6 1
141 7 1
141 8 1
142 1 1
142 2 1
142 3 1
142 4 1
142 5 1
142 6 1
142 7 1
142 8 1
143 1 1
143 2 1
143 3 1
143 4 1
143 5 1
143 6 1
143 7 1
143 8 1
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
